age,education,day,month,y
35,tertiary,13,aug,no
50,secondary,11,may,no
47,primary,27,aug,no
41,tertiary,18,may,no
32,secondary,17,jul,no
33,primary,21,may,no
44,primary,5,may,no
46,primary,21,jul,no
25,tertiary,21,jul,no
27,tertiary,16,feb,no
48,tertiary,14,may,no
64,primary,14,jan,yes
49,secondary,31,jul,no
47,primary,12,jun,no
42,secondary,11,aug,no
37,secondary,23,may,no
46,primary,18,jul,no
40,primary,12,may,no
37,secondary,20,apr,no
43,secondary,14,may,no
36,unknown,9,jun,no
32,secondary,7,may,no
64,primary,16,mar,yes
45,secondary,21,nov,no
30,primary,18,may,no
31,secondary,17,jul,no
60,unknown,26,aug,no
40,primary,17,apr,no
44,secondary,26,may,no
47,primary,13,may,no
33,secondary,28,may,no
56,unknown,28,may,no
37,secondary,2,feb,no
49,tertiary,13,aug,yes
60,secondary,30,jul,yes
33,tertiary,19,aug,no
55,unknown,30,jul,no
36,tertiary,20,jun,no
59,primary,11,jun,no
38,tertiary,20,nov,no
35,secondary,23,may,no
39,tertiary,23,may,no
53,secondary,10,jul,no
34,secondary,18,may,no
32,secondary,27,may,no
28,primary,13,may,no
42,tertiary,7,aug,no
28,tertiary,14,may,no
29,unknown,6,may,no
36,secondary,2,feb,no
45,primary,14,may,no
36,tertiary,26,may,no
40,primary,12,may,no
35,tertiary,15,may,yes
29,secondary,5,aug,yes
44,tertiary,5,feb,no
32,secondary,28,aug,no
45,tertiary,19,aug,no
43,tertiary,18,aug,no
43,primary,28,aug,no
37,secondary,14,may,no
31,secondary,29,aug,no
49,tertiary,5,apr,no
44,secondary,19,may,no
33,tertiary,7,aug,no
38,tertiary,2,feb,no
39,primary,17,nov,no
48,primary,27,may,no
32,secondary,4,jun,no
41,secondary,28,jan,no
31,tertiary,21,nov,no
34,secondary,25,jul,no
49,primary,19,jun,no
60,secondary,8,apr,no
60,secondary,12,aug,no
61,tertiary,10,feb,yes
31,secondary,22,aug,no
37,tertiary,30,jul,no
35,unknown,9,jul,no
34,tertiary,21,nov,no
32,secondary,29,jan,no
58,secondary,17,jun,no
58,primary,15,oct,yes
45,primary,21,jul,no
66,primary,10,feb,no
41,primary,6,jun,no
32,tertiary,29,may,no
60,secondary,19,may,no
33,primary,21,may,no
41,secondary,5,jun,no
35,tertiary,17,jul,no
27,secondary,29,jan,no
47,secondary,16,may,no
46,primary,11,may,no
45,unknown,11,jul,no
46,tertiary,18,nov,yes
29,secondary,4,feb,yes
50,primary,29,may,no
48,secondary,2,feb,no
51,tertiary,21,jul,no
47,primary,15,may,no
39,tertiary,27,may,no
30,tertiary,3,jun,no
30,secondary,20,apr,no
41,tertiary,16,jun,no
56,primary,15,apr,yes
41,tertiary,8,may,no
42,secondary,19,nov,no
49,secondary,2,jun,yes
58,secondary,15,jul,no
61,tertiary,7,aug,no
59,secondary,11,may,no
37,secondary,3,jun,no
29,tertiary,14,may,no
31,secondary,9,may,no
29,secondary,12,may,no
48,secondary,14,may,yes
26,unknown,4,jun,no
53,tertiary,28,aug,no
75,primary,24,apr,no
37,tertiary,7,may,no
24,secondary,19,jun,no
33,tertiary,18,jul,no
34,tertiary,8,aug,no
36,tertiary,20,nov,no
28,secondary,12,may,no
29,secondary,13,aug,no
58,primary,29,may,no
52,tertiary,19,jun,no
51,secondary,5,aug,yes
40,primary,20,jun,no
53,secondary,11,jun,no
57,primary,26,mar,no
35,secondary,8,aug,no
39,secondary,20,apr,no
47,secondary,20,jun,no
38,primary,23,may,no
41,secondary,21,nov,no
35,secondary,14,apr,no
45,secondary,28,jul,no
38,tertiary,20,nov,no
36,tertiary,27,aug,yes
59,tertiary,29,apr,yes
33,secondary,2,jun,no
47,secondary,18,jun,no
30,tertiary,12,aug,no
33,secondary,4,feb,yes
29,secondary,27,aug,no
52,secondary,29,aug,no
44,secondary,7,aug,no
43,primary,31,jul,no
41,secondary,18,jun,yes
33,secondary,12,may,no
31,primary,20,nov,no
19,secondary,1,jul,no
57,tertiary,28,oct,yes
51,secondary,31,jul,no
42,tertiary,5,may,no
29,primary,21,jul,no
35,secondary,28,jul,no
40,primary,13,may,no
34,tertiary,28,aug,no
58,secondary,13,may,no
49,secondary,13,aug,no
55,tertiary,11,jun,no
32,secondary,15,jul,no
34,secondary,30,may,yes
39,secondary,8,may,no
55,secondary,22,aug,no
27,secondary,9,feb,no
37,secondary,6,may,no
39,secondary,8,may,no
40,secondary,20,aug,no
33,tertiary,24,jul,yes
26,tertiary,19,aug,yes
26,tertiary,29,may,no
37,tertiary,13,may,no
32,secondary,26,jun,no
18,primary,10,aug,no
59,primary,29,jul,no
54,tertiary,18,jun,no
37,secondary,30,jul,no
32,secondary,29,may,no
28,secondary,27,aug,no
32,tertiary,19,nov,no
39,tertiary,20,apr,no
42,primary,31,jul,no
41,secondary,19,nov,no
35,secondary,22,jul,no
52,unknown,14,aug,no
38,secondary,21,may,no
33,secondary,21,jul,no
44,tertiary,3,jun,no
25,secondary,4,jun,no
47,secondary,16,jul,no
27,tertiary,28,jan,no
67,primary,14,aug,no
27,secondary,9,jul,yes
34,secondary,8,may,no
30,tertiary,18,jul,no
42,secondary,5,aug,no
31,secondary,20,may,no
54,secondary,6,may,no
48,secondary,9,jun,no
27,secondary,22,jul,no
44,secondary,20,apr,no
59,tertiary,10,aug,no
38,secondary,9,jul,yes
29,secondary,14,may,no
35,secondary,3,sep,no
37,primary,6,jun,no
51,primary,6,jun,no
32,secondary,14,aug,no
30,secondary,28,may,no
37,tertiary,9,may,no
29,secondary,4,jun,no
59,secondary,21,nov,no
44,secondary,29,jan,no
50,tertiary,29,aug,no
31,unknown,30,may,no
44,primary,16,apr,yes
69,tertiary,7,jul,no
48,tertiary,17,nov,no
34,tertiary,8,aug,no
54,secondary,15,may,no
21,secondary,21,aug,no
37,secondary,3,jun,no
46,secondary,20,aug,no
29,tertiary,8,jul,yes
27,secondary,28,may,no
49,secondary,11,feb,no
37,secondary,31,jul,no
29,tertiary,5,feb,yes
50,primary,5,jun,no
35,tertiary,20,apr,no
41,tertiary,20,jun,no
53,tertiary,5,may,no
32,primary,31,jul,no
48,secondary,7,may,no
35,secondary,16,apr,no
57,primary,6,jun,no
58,unknown,6,may,no
37,secondary,21,nov,no
49,tertiary,20,nov,no
29,secondary,21,jul,no
52,secondary,27,nov,no
34,tertiary,12,aug,no
52,primary,8,aug,no
47,secondary,27,jun,no
35,unknown,17,jun,no
38,secondary,2,jun,no
38,secondary,14,may,no
58,tertiary,22,aug,no
50,unknown,19,may,no
25,secondary,12,aug,no
32,secondary,1,jul,no
53,primary,8,aug,no
35,secondary,6,feb,no
29,tertiary,3,jun,no
37,secondary,9,jun,no
36,secondary,3,feb,no
41,primary,29,jul,no
32,tertiary,22,jul,no
41,primary,10,jul,no
48,tertiary,28,jan,no
31,secondary,2,jun,no
43,primary,2,mar,yes
32,tertiary,20,aug,no
56,secondary,5,aug,no
30,tertiary,15,apr,yes
59,tertiary,4,feb,no
34,unknown,15,may,no
47,secondary,29,jan,no
59,secondary,12,may,no
34,secondary,15,apr,no
47,secondary,19,aug,no
38,secondary,3,mar,yes
36,secondary,9,jun,no
36,secondary,17,jun,no
38,secondary,23,may,no
45,tertiary,24,jul,no
61,tertiary,22,jun,yes
54,primary,18,jun,no
39,primary,9,jun,no
36,tertiary,27,may,no
39,secondary,29,jul,no
44,secondary,14,may,no
54,primary,17,apr,no
59,secondary,17,jun,no
57,tertiary,17,jun,no
36,tertiary,16,jul,no
46,primary,18,nov,no
42,unknown,26,aug,no
49,secondary,29,jul,no
34,secondary,6,may,no
46,primary,17,nov,no
32,tertiary,6,aug,no
40,secondary,16,may,no
30,tertiary,1,jun,no
52,secondary,14,may,no
56,secondary,21,jul,no
37,tertiary,2,feb,no
32,secondary,22,may,yes
48,primary,16,jun,no
38,tertiary,28,aug,no
39,tertiary,14,may,no
47,tertiary,16,jun,no
34,secondary,3,feb,no
32,tertiary,4,feb,no
34,secondary,19,may,no
32,tertiary,22,aug,no
33,secondary,7,may,no
56,primary,23,jul,no
39,secondary,5,mar,yes
37,tertiary,19,nov,no
54,secondary,5,may,no
52,secondary,14,jul,no
24,secondary,7,may,no
34,tertiary,12,aug,yes
48,secondary,23,jul,no
33,secondary,25,jul,no
58,secondary,17,nov,no
43,secondary,18,nov,no
52,secondary,5,jun,no
59,tertiary,28,aug,no
48,secondary,8,may,no
35,secondary,13,may,no
30,secondary,8,may,no
38,tertiary,4,aug,no
27,tertiary,15,jun,yes
61,tertiary,26,aug,no
30,tertiary,4,jun,yes
33,tertiary,5,may,no
71,tertiary,27,jan,no
34,secondary,23,may,no
37,secondary,8,aug,no
42,secondary,14,jul,no
35,secondary,23,may,no
35,tertiary,13,aug,no
65,tertiary,11,aug,yes
26,tertiary,29,may,no
43,secondary,17,jun,no
33,tertiary,9,feb,no
71,tertiary,15,mar,yes
50,tertiary,6,jun,no
55,secondary,28,jan,no
39,tertiary,19,nov,no
30,tertiary,19,may,no
40,secondary,22,aug,no
51,secondary,30,jan,no
32,tertiary,20,may,no
57,primary,6,may,no
57,secondary,25,jul,no
50,primary,22,jul,no
45,secondary,7,aug,no
35,tertiary,21,apr,yes
21,tertiary,17,jun,no
32,secondary,29,jan,no
57,unknown,9,feb,no
45,secondary,6,feb,no
35,tertiary,28,may,no
74,secondary,19,oct,yes
46,tertiary,18,mar,yes
35,tertiary,20,apr,no
57,secondary,5,aug,yes
34,secondary,9,jul,no
35,secondary,6,may,no
47,secondary,9,may,no
40,tertiary,13,aug,no
36,tertiary,25,jul,no
51,tertiary,30,jan,no
31,secondary,18,nov,no
39,secondary,21,nov,no
56,secondary,21,nov,no
60,primary,28,jan,no
30,secondary,14,may,no
32,secondary,12,may,no
33,tertiary,18,may,no
44,tertiary,17,nov,no
47,tertiary,20,nov,no
36,secondary,13,may,no
27,tertiary,12,nov,yes
51,secondary,25,jun,no
32,tertiary,20,nov,no
33,secondary,19,aug,no
35,primary,8,jun,yes
35,tertiary,4,aug,no
29,secondary,19,jun,no
34,secondary,9,apr,no
37,secondary,18,may,no
39,secondary,16,jun,no
42,tertiary,18,nov,no
29,secondary,7,dec,yes
40,primary,26,may,no
47,secondary,18,nov,no
46,tertiary,15,may,no
49,tertiary,19,aug,no
41,secondary,29,aug,no
47,secondary,7,jul,yes
31,secondary,6,may,no
44,secondary,8,may,no
42,secondary,14,may,no
39,tertiary,19,nov,no
46,secondary,12,may,no
32,tertiary,12,aug,no
55,secondary,3,jun,yes
34,secondary,20,nov,no
40,tertiary,22,aug,no
42,secondary,22,jul,no
32,secondary,20,nov,no
27,secondary,9,may,no
39,secondary,11,may,no
34,tertiary,21,may,no
45,secondary,19,aug,no
34,tertiary,25,may,yes
27,tertiary,12,may,no
43,tertiary,15,may,no
35,secondary,7,may,no
29,unknown,29,may,no
54,tertiary,12,aug,no
39,primary,4,jun,no
30,primary,15,jul,yes
35,secondary,2,jun,no
36,primary,9,jul,no
53,tertiary,20,jun,no
26,secondary,2,feb,no
22,secondary,4,jun,no
32,secondary,29,jan,no
30,tertiary,29,jan,no
47,unknown,15,may,no
30,secondary,2,jun,no
48,secondary,25,aug,no
29,unknown,3,mar,yes
45,secondary,7,may,no
51,secondary,20,apr,no
37,secondary,10,jul,no
36,secondary,29,jul,yes
34,secondary,21,may,no
34,tertiary,14,aug,no
33,tertiary,22,jul,no
38,tertiary,14,may,no
53,primary,4,aug,no
50,secondary,13,aug,no
51,tertiary,8,aug,no
37,secondary,13,may,no
30,tertiary,4,jun,yes
34,tertiary,25,jul,no
32,primary,14,may,no
26,secondary,5,jun,no
37,secondary,20,jun,no
40,primary,2,apr,no
40,secondary,2,feb,no
48,primary,16,jun,no
33,primary,25,jul,no
31,secondary,3,jul,no
38,unknown,6,may,no
52,secondary,24,jul,no
41,primary,20,nov,no
27,tertiary,5,mar,yes
39,primary,17,nov,no
39,secondary,20,nov,no
55,secondary,1,jun,no
36,primary,9,apr,no
61,unknown,16,nov,no
30,primary,27,jun,no
39,primary,16,jul,no
57,primary,4,jun,no
45,secondary,25,jun,no
30,secondary,5,jun,no
42,secondary,5,may,no
37,secondary,19,nov,no
34,secondary,14,apr,no
39,secondary,7,apr,no
41,tertiary,7,aug,no
36,secondary,4,jun,no
36,primary,16,apr,no
32,secondary,20,nov,no
40,secondary,18,jun,no
36,tertiary,8,sep,yes
24,unknown,10,feb,no
56,tertiary,18,may,no
53,secondary,16,may,no
37,primary,6,feb,no
27,secondary,17,aug,no
35,secondary,27,may,yes
37,secondary,5,may,no
44,tertiary,5,feb,no
36,unknown,13,jul,yes
30,secondary,25,jul,no
32,secondary,23,may,no
39,secondary,17,jun,no
33,secondary,12,may,no
48,primary,6,aug,no
53,secondary,21,aug,no
52,secondary,17,nov,no
45,primary,19,jun,no
55,secondary,14,may,no
39,primary,5,jun,no
48,tertiary,31,jul,no
31,secondary,4,feb,no
22,tertiary,10,dec,no
44,secondary,15,may,no
57,secondary,9,jul,no
29,tertiary,21,jul,no
48,secondary,23,jul,no
36,tertiary,29,aug,no
26,tertiary,2,jun,no
26,secondary,30,jan,no
38,primary,12,may,no
34,tertiary,7,may,no
35,tertiary,27,apr,no
33,secondary,22,aug,no
36,tertiary,4,feb,no
48,tertiary,21,jul,no
26,primary,14,may,no
32,secondary,6,may,no
30,secondary,20,may,no
56,secondary,18,may,no
60,secondary,18,dec,no
25,secondary,5,feb,yes
33,secondary,8,aug,no
24,secondary,30,apr,yes
51,secondary,9,jul,no
59,secondary,2,feb,no
62,unknown,22,apr,no
43,secondary,29,may,no
38,tertiary,20,aug,no
51,secondary,9,jul,no
33,tertiary,20,nov,no
37,secondary,5,feb,no
30,secondary,19,aug,no
48,secondary,6,may,no
30,secondary,14,aug,no
35,tertiary,5,feb,no
54,primary,20,jun,no
54,tertiary,4,aug,no
45,primary,15,may,no
34,secondary,11,may,no
32,tertiary,21,may,no
56,primary,29,jan,no
29,secondary,30,jul,no
37,secondary,12,may,no
35,tertiary,21,nov,no
52,tertiary,18,nov,no
36,secondary,20,jun,no
50,primary,13,may,no
34,tertiary,16,oct,yes
40,tertiary,30,jan,no
44,primary,28,may,no
28,secondary,6,jun,no
33,secondary,6,may,no
34,secondary,15,may,no
40,secondary,8,may,no
56,primary,2,jun,no
44,tertiary,13,may,no
42,secondary,2,feb,no
54,secondary,20,nov,no
29,secondary,9,may,no
42,secondary,23,may,no
46,secondary,12,aug,yes
34,tertiary,17,jul,no
53,secondary,21,nov,no
25,primary,20,apr,no
42,primary,8,may,no
33,tertiary,8,aug,no
43,secondary,5,aug,no
56,secondary,21,may,no
36,primary,13,may,yes
32,tertiary,2,feb,no
26,tertiary,8,sep,yes
33,tertiary,19,nov,no
25,tertiary,15,may,no
59,primary,7,jul,no
38,tertiary,16,jun,no
34,secondary,30,apr,yes
48,primary,18,jun,no
45,secondary,4,aug,no
47,unknown,25,aug,yes
43,primary,14,may,no
39,tertiary,5,jun,no
50,secondary,14,aug,no
26,secondary,10,jul,no
36,tertiary,17,apr,no
52,primary,29,jul,no
34,tertiary,21,aug,no
31,tertiary,11,feb,yes
56,tertiary,10,jul,no
43,unknown,20,jun,no
49,tertiary,8,nov,no
36,secondary,19,aug,no
59,tertiary,29,jan,no
54,unknown,5,feb,yes
31,tertiary,27,may,no
36,tertiary,7,may,no
40,secondary,23,may,no
42,secondary,5,aug,no
43,secondary,12,oct,no
36,tertiary,30,may,no
36,secondary,31,jul,no
51,secondary,16,apr,no
37,tertiary,30,jun,no
35,secondary,13,may,no
55,secondary,12,may,no
32,secondary,12,may,no
39,primary,6,may,no
32,tertiary,8,oct,no
40,secondary,26,may,no
31,secondary,6,feb,no
40,primary,24,jul,no
56,secondary,18,may,no
26,secondary,28,may,no
47,secondary,29,jan,no
36,secondary,6,may,no
34,secondary,11,may,no
26,tertiary,16,apr,no
38,primary,12,jun,no
26,secondary,26,aug,no
33,secondary,2,feb,no
39,tertiary,2,jun,no
39,secondary,21,may,no
31,secondary,9,jul,no
46,primary,29,jul,no
49,secondary,9,jun,no
31,tertiary,8,aug,yes
59,tertiary,8,may,yes
51,secondary,6,aug,no
30,tertiary,17,jul,no
31,tertiary,22,aug,no
25,unknown,27,jun,no
36,secondary,16,jun,no
36,primary,18,nov,no
54,tertiary,28,may,no
59,primary,7,may,no
59,primary,22,aug,no
47,secondary,20,nov,no
42,secondary,20,apr,no
46,secondary,28,aug,no
59,secondary,11,jul,no
37,tertiary,21,nov,no
26,tertiary,5,feb,no
35,tertiary,11,nov,no
38,secondary,30,may,no
35,primary,4,feb,no
54,tertiary,4,feb,no
34,secondary,14,aug,no
40,secondary,6,may,no
34,secondary,18,may,no
45,primary,14,may,no
52,secondary,13,may,no
30,tertiary,5,may,no
61,secondary,18,aug,no
33,secondary,17,apr,no
31,tertiary,13,may,no
27,secondary,18,may,no
30,secondary,5,may,no
38,secondary,7,may,no
31,tertiary,12,oct,yes
37,tertiary,20,apr,no
30,tertiary,4,feb,no
52,secondary,2,feb,no
47,primary,25,jul,no
48,primary,20,nov,no
42,secondary,28,jan,no
38,secondary,4,feb,no
50,secondary,27,may,no
32,tertiary,2,feb,no
38,secondary,6,may,no
59,tertiary,29,jan,no
40,tertiary,21,nov,no
29,secondary,17,apr,no
39,primary,8,may,no
30,tertiary,29,jul,no
25,secondary,2,jun,no
32,secondary,18,jul,no
39,secondary,25,aug,no
43,secondary,15,jul,no
21,secondary,5,aug,yes
45,secondary,16,oct,no
57,primary,14,jul,no
51,unknown,5,may,no
44,secondary,28,may,no
39,secondary,21,nov,no
32,secondary,28,may,no
58,secondary,28,jul,no
28,tertiary,8,may,no
39,secondary,27,may,no
59,tertiary,21,jul,no
26,tertiary,30,may,no
40,tertiary,19,nov,no
38,primary,17,nov,no
36,secondary,17,jun,no
47,secondary,3,jun,no
26,tertiary,28,jul,no
39,primary,5,jun,no
56,secondary,1,oct,no
37,secondary,16,may,no
46,secondary,6,apr,no
37,secondary,2,feb,no
38,secondary,20,apr,no
30,tertiary,29,jan,no
42,secondary,20,apr,no
56,tertiary,28,jan,yes
50,secondary,7,jul,no
51,primary,30,jul,no
39,tertiary,29,jul,no
45,primary,26,aug,no
30,tertiary,26,may,no
50,secondary,2,jun,no
34,tertiary,23,aug,no
28,secondary,15,may,no
31,secondary,6,may,no
31,secondary,15,may,no
42,secondary,7,may,no
36,secondary,27,mar,yes
54,tertiary,27,aug,no
48,primary,20,apr,no
41,secondary,30,jan,no
29,tertiary,11,may,no
47,primary,7,jul,no
42,tertiary,13,aug,no
51,secondary,18,jun,yes
37,tertiary,11,may,no
56,primary,20,apr,no
34,tertiary,12,feb,no
32,tertiary,23,jun,no
50,tertiary,5,feb,no
28,tertiary,23,apr,yes
43,secondary,4,feb,no
59,tertiary,2,jun,no
34,secondary,28,jul,no
48,secondary,6,aug,no
29,secondary,22,jul,no
53,secondary,19,nov,no
29,primary,3,jun,no
54,primary,21,nov,no
55,tertiary,18,aug,yes
21,secondary,11,may,no
33,tertiary,5,may,no
34,primary,14,may,no
55,unknown,7,jul,no
24,unknown,4,may,no
50,unknown,11,jun,no
53,secondary,15,may,no
45,tertiary,3,sep,no
36,secondary,5,feb,no
52,secondary,8,may,no
48,secondary,12,aug,no
54,secondary,3,feb,no
54,primary,14,may,no
49,secondary,3,jun,no
70,primary,6,oct,no
49,secondary,4,aug,no
46,primary,6,may,no
28,secondary,6,feb,no
28,secondary,25,may,no
50,primary,27,aug,no
51,tertiary,13,may,no
26,tertiary,7,may,no
38,secondary,11,may,no
38,secondary,8,jul,no
46,secondary,15,jul,yes
58,secondary,11,may,no
38,tertiary,12,may,yes
37,secondary,5,jun,no
30,secondary,28,may,no
32,secondary,6,sep,yes
30,tertiary,14,may,no
34,tertiary,20,nov,no
36,secondary,20,apr,no
47,tertiary,22,aug,no
45,tertiary,7,sep,yes
30,tertiary,27,aug,yes
27,secondary,18,may,no
33,tertiary,19,nov,no
27,tertiary,4,jun,no
18,unknown,25,aug,yes
49,secondary,2,apr,no
51,primary,18,feb,yes
43,secondary,5,may,no
38,primary,20,apr,no
41,primary,18,jun,yes
42,secondary,15,jul,no
36,tertiary,29,may,no
33,secondary,28,jul,no
49,secondary,29,aug,no
29,secondary,14,apr,no
39,primary,17,apr,no
27,secondary,17,apr,no
39,secondary,20,jun,no
31,tertiary,18,jul,no
33,secondary,7,jul,yes
39,tertiary,26,may,no
46,unknown,24,feb,no
50,tertiary,13,aug,no
49,tertiary,11,may,no
34,tertiary,30,apr,yes
53,tertiary,19,nov,no
26,secondary,9,jul,no
30,tertiary,29,may,no
34,secondary,14,jul,no
34,secondary,5,feb,no
39,secondary,13,apr,no
53,primary,20,aug,no
29,tertiary,22,may,yes
38,tertiary,15,jul,no
39,secondary,23,jul,no
65,primary,27,apr,yes
32,tertiary,2,feb,no
34,secondary,6,sep,no
29,secondary,5,may,no
35,tertiary,22,jul,no
31,secondary,19,may,yes
27,primary,18,may,no
30,tertiary,8,may,no
34,tertiary,28,may,no
30,secondary,20,may,no
50,secondary,8,may,no
29,secondary,3,feb,no
59,secondary,18,jun,no
28,secondary,26,may,no
29,unknown,6,jul,no
55,tertiary,8,jul,no
30,primary,8,jul,no
34,secondary,17,nov,no
59,secondary,20,nov,yes
32,secondary,7,may,no
49,secondary,5,jun,yes
45,secondary,2,feb,no
22,secondary,18,may,no
34,secondary,6,may,no
36,tertiary,16,apr,no
55,secondary,5,feb,no
48,tertiary,14,aug,no
56,primary,18,aug,no
34,secondary,2,jun,no
41,primary,18,nov,no
35,tertiary,6,aug,no
30,secondary,18,nov,no
28,unknown,5,jun,no
37,primary,26,may,no
46,secondary,22,jul,no
55,secondary,11,may,no
38,primary,29,may,no
43,tertiary,11,may,no
29,secondary,10,jul,no
58,secondary,20,aug,no
39,tertiary,4,feb,no
52,tertiary,9,jul,no
49,secondary,12,may,no
58,tertiary,22,aug,no
50,unknown,19,jun,no
57,secondary,19,nov,no
47,secondary,14,may,no
38,secondary,5,may,no
39,primary,6,may,no
41,secondary,29,may,no
37,primary,22,aug,no
35,secondary,18,may,no
37,primary,10,jul,no
29,secondary,9,may,no
37,tertiary,19,nov,no
49,secondary,25,aug,no
46,secondary,2,jun,no
43,secondary,20,aug,no
35,secondary,29,jan,no
38,secondary,12,may,no
43,tertiary,29,jan,no
27,secondary,9,oct,yes
34,tertiary,29,jan,no
40,primary,2,feb,no
47,primary,7,apr,no
30,tertiary,11,aug,no
44,secondary,10,jul,no
61,secondary,18,jun,no
33,secondary,26,jul,no
29,tertiary,8,jul,no
46,secondary,8,may,no
32,tertiary,9,dec,no
37,secondary,26,may,no
38,secondary,11,may,no
32,secondary,19,nov,yes
47,primary,1,jul,no
39,primary,5,jun,no
32,secondary,21,jul,no
26,secondary,17,jul,no
35,tertiary,18,nov,no
31,tertiary,13,aug,yes
26,secondary,29,jan,no
39,secondary,5,jun,no
44,secondary,28,jan,no
27,secondary,25,jun,no
28,secondary,27,may,no
63,unknown,4,may,yes
36,tertiary,9,jun,no
56,primary,17,nov,no
37,tertiary,30,jun,yes
41,tertiary,11,may,no
55,secondary,27,oct,no
52,tertiary,19,aug,no
36,tertiary,21,may,no
41,tertiary,8,aug,no
39,secondary,2,feb,no
35,tertiary,1,sep,no
32,secondary,26,aug,no
43,primary,9,may,no
39,secondary,8,may,no
49,tertiary,28,jul,no
41,primary,30,jan,no
45,tertiary,29,jun,no
51,secondary,29,oct,yes
32,tertiary,7,may,no
42,unknown,19,jul,yes
52,secondary,28,aug,no
31,secondary,2,jun,no
38,tertiary,17,apr,no
34,secondary,20,jun,no
29,tertiary,31,jul,no
52,secondary,13,aug,no
58,secondary,20,apr,no
53,secondary,29,aug,no
36,unknown,10,feb,yes
36,tertiary,5,may,no
43,tertiary,21,aug,no
56,secondary,28,aug,no
30,secondary,10,jul,no
31,secondary,9,apr,no
59,tertiary,9,jul,no
43,primary,13,nov,no
60,secondary,5,feb,no
45,primary,4,feb,no
37,secondary,12,may,no
53,tertiary,22,aug,no
36,secondary,22,apr,yes
45,secondary,5,jun,no
45,primary,14,may,no
36,tertiary,18,nov,no
55,secondary,20,jun,no
41,secondary,29,jul,no
52,secondary,21,apr,yes
31,secondary,13,may,no
36,unknown,27,may,no
29,unknown,8,feb,no
28,tertiary,18,jan,no
45,primary,27,aug,no
48,secondary,30,jul,no
55,secondary,26,jun,no
36,tertiary,19,aug,no
63,secondary,11,sep,no
34,secondary,16,may,no
36,tertiary,11,may,no
52,tertiary,18,jul,no
55,secondary,12,may,no
54,secondary,26,jun,no
83,tertiary,2,feb,no
44,secondary,11,may,no
27,secondary,15,may,no
30,tertiary,21,nov,no
42,secondary,19,aug,no
54,secondary,18,jun,no
40,secondary,16,oct,yes
56,secondary,6,jun,no
47,secondary,9,jun,no
54,secondary,6,may,no
28,tertiary,16,jul,yes
43,tertiary,7,aug,no
31,unknown,23,may,no
53,secondary,18,jun,no
36,secondary,20,nov,no
32,secondary,2,nov,no
59,unknown,13,may,no
49,secondary,14,may,no
46,primary,21,nov,no
46,tertiary,5,may,no
47,tertiary,7,aug,no
21,primary,25,may,no
45,tertiary,30,jan,no
25,secondary,14,jul,no
31,tertiary,8,aug,no
40,primary,6,feb,no
52,tertiary,17,aug,no
56,secondary,3,feb,yes
38,secondary,4,feb,yes
32,secondary,13,may,no
29,secondary,21,may,no
76,primary,12,aug,no
47,secondary,30,may,no
27,unknown,9,feb,no
31,secondary,27,may,no
47,secondary,12,nov,yes
32,secondary,13,apr,no
51,secondary,30,jan,no
34,tertiary,22,jul,no
38,tertiary,21,may,no
59,tertiary,27,may,no
32,tertiary,22,aug,no
39,tertiary,20,jun,no
26,secondary,28,may,no
60,tertiary,15,jul,yes
48,secondary,5,may,no
36,tertiary,6,aug,no
34,secondary,28,may,no
31,primary,7,may,yes
26,tertiary,3,jun,yes
33,tertiary,1,jul,no
49,tertiary,6,may,no
60,tertiary,1,jun,no
43,secondary,28,jul,no
51,primary,25,jul,no
47,tertiary,31,jul,no
49,secondary,26,aug,no
49,secondary,19,may,no
53,primary,6,jun,no
59,primary,13,aug,no
45,secondary,2,feb,no
36,tertiary,1,oct,no
30,secondary,28,jul,no
41,secondary,5,jun,no
25,tertiary,24,jul,no
43,primary,20,nov,no
52,secondary,24,jul,no
31,secondary,23,sep,no
31,primary,30,mar,no
53,primary,29,jul,no
40,tertiary,28,jul,no
25,tertiary,6,jun,no
34,secondary,20,may,no
41,secondary,8,aug,no
32,secondary,12,may,no
39,secondary,20,nov,no
41,secondary,29,may,no
36,secondary,20,nov,no
31,secondary,27,aug,no
39,primary,16,jun,no
36,secondary,5,feb,no
26,secondary,3,jun,no
55,tertiary,26,jun,no
55,secondary,3,jun,no
30,secondary,30,jul,no
35,tertiary,18,may,no
54,tertiary,27,oct,yes
33,tertiary,17,jul,no
29,secondary,3,mar,yes
38,secondary,14,may,no
42,primary,7,may,no
76,tertiary,19,aug,no
27,secondary,26,may,no
33,secondary,8,jul,no
57,secondary,21,aug,no
51,secondary,6,jun,no
33,secondary,11,may,no
33,secondary,4,jun,no
26,secondary,15,may,no
34,tertiary,19,aug,no
33,secondary,7,jul,no
31,secondary,20,nov,no
41,tertiary,19,jun,no
29,secondary,19,may,no
38,primary,31,jul,no
81,primary,27,oct,yes
39,tertiary,30,may,no
37,secondary,31,jul,no
40,secondary,9,apr,no
34,secondary,18,nov,no
31,secondary,11,may,no
36,secondary,27,aug,yes
34,tertiary,18,nov,no
31,secondary,6,feb,yes
31,secondary,7,may,no
54,secondary,14,may,no
27,secondary,28,may,no
46,secondary,6,may,no
28,secondary,18,may,no
39,primary,16,jun,no
53,primary,8,may,no
24,secondary,12,may,no
57,secondary,23,jul,no
50,secondary,20,aug,no
60,primary,4,aug,no
45,tertiary,6,aug,yes
